NumberOfTasks,numOfAVs,taskDelay,wanDelay,manDelay,wlanDelay,lanDelay,directCommunicationDelay
927.6227417640807,25,11.821523455910405,2.4977826606468376,0.4995565321293675,0.009615978132485884,0.007974146888564806,7.100947080570012
1858.7809560051585,50,30.3988244647387,6.175552833654136,1.2351105667308273,0.011728116715189493,0.019113064336721882,17.813126335854335
2491.621253153716,75,41.6524491307176,8.491057769402799,1.6982115538805596,0.012216945076010741,0.02608402056200893,24.275037758424727
3893.1426541056453,100,55.21983410324997,11.181198293387467,2.2362396586774933,0.011101571105908713,0.03409867343545783,32.006969965149025
4654.136594300113,125,66.86155287773532,13.518941424507489,2.7037882849014987,0.011215828960398145,0.04111761572154237,38.67830184023002
5519.189048834297,150,83.81000893558766,16.893514459283256,3.378702891856651,0.01182057715775822,0.05127157223573769,48.40577078192794
6399.127336981992,175,94.26822443644356,18.955397136573865,3.7910794273147723,0.011526571689505915,0.057442519994196875,54.385275002846775
7124.926270102087,200,111.08162070688485,22.311880007387394,4.462376001477478,0.012176968113209242,0.06754448842782265,64.03695739485362
7485.597621426525,225,125.71991150128873,25.223103023806217,5.044620604761242,0.012779206796553692,0.07630826941124634,72.44127021306038
8195.680131004367,250,144.14209420289177,28.935243470872063,5.787048694174412,0.013267965350262406,0.08746912868012931,83.00875450548241
